CVE_ESCUELA_ATENCION,NOM_ESCUELA_ATENCION,REF_TURNO_ATENCION,REF_CICLO_ESCOLAR,CLAVECCT,NOMBRE_INMUEBLE,NIVEL,alcaldia,longitud,latitud,NUM_MATRICULA_TOTAL_ESCUELA,registros_salud,prioridad_atencion,pct_incompleto,pct_no_asistio,pct_caries,casos_caries,registros_caries,pct_visual,casos_visual,registros_visual,pct_sobrepeso_obesidad,casos_sobrepeso_obesidad,registros_sobrepeso_obesidad,imc_promedio,registros_imc,pct_alertas_multiples,casos_alertas_multiples,registros_alertas_multiples,alertas_promedio,completitud,casos_completos,registros_completitud
09DPR2466G,LEANDRO VALLE,VESPERTINO,2025-2026,09DPR2466G,LEANDRO VALLE,Primaria,IZTAPALAPA,-99.07012222,19.37734722,248,150,38.8,0,0,81.3333,122,150,66.6667,100,150,46,69,150,18.7427,150,72,108,150,1.94,100,150,150
09DPR1603M,ING. GUILLERMO GONZÁLEZ CAMARENA,VESPERTINO,2024-2025,09DPR1603M,ING. GUILLERMO GONZÁLEZ CAMARENA,Primaria,AZCAPOTZALCO,-99.18090556,19.48493611,121,106,38.6792,29.2453,0,63.2075,67,106,65.0943,69,106,35.8491,38,106,19.7267,75,66.0377,70,106,1.934,70.7547,75,106
09DPR2948M,MIGUEL DE CERVANTES SAAVEDRA,MATUTINO,2024-2025 | 2025-2026,09PPR0996N,MIGUEL DE CERVANTES SAAVEDRA,Primaria,GUSTAVO A. MADERO,-99.081795,19.484407,390,284,38.662,1.4085,0,55.6338,158,284,85.5634,243,284,50.7042,144,284,26.1822,276,72.5352,206,284,1.9331,98.5915,280,284
09DPR2817U,PROFR. JOSÉ ROMERO Y FUENTES,MATUTINO,2024-2025 | 2025-2026,09DPR2643U,PROFR. JOSÉ ROMERO Y FUENTES,Primaria,IZTAPALAPA,-99.06552222,19.31951944,617,392,38.5204,4.5918,0,61.2245,240,392,79.0816,310,392,47.7041,187,392,19.044,373,71.6837,281,392,1.926,95.4082,374,392
09DPR0954J,AMERICAS UNIDAS,MATUTINO,2024-2025 | 2025-2026,09DPR0954J,AMERICAS UNIDAS,Primaria,VENUSTIANO CARRANZA,-99.096275,19.44256389,169,158,38.481,8.2278,0,56.962,90,158,86.0759,136,158,41.1392,65,158,19.5806,144,72.1519,114,158,1.9241,91.7722,145,158
09DPR5071Q,CARLOS ENRIQUE NERI GUZMÁN,VESPERTINO,2024-2025 | 2025-2026,09DPR5072P,CARLOS ENRIQUE NERI GUZMÁN,Primaria,IZTAPALAPA,-99.052025,19.37943333,266,167,38.4431,0.5988,0,73.0539,122,167,71.8563,120,167,46.7066,78,167,19.2098,164,68.8623,115,167,1.9222,99.4012,166,167
09DPR3024S,ANIBAL PONCE,VESPERTINO,2024-2025 | 2025-2026,09DPR2531Q,ANIBAL PONCE,Primaria,IZTAPALAPA,-99.01913611,19.336425,310,140,38.4286,9.2857,0,71.4286,100,140,67.1429,94,140,44.2857,62,140,19.2587,126,72.8571,102,140,1.9214,90.7143,127,140
09DPR1452X,TURQUIA,MATUTINO,2024-2025 | 2025-2026,09DPR1452X,TURQUIA,Primaria,GUSTAVO A. MADERO,-99.09619444,19.45628056,371,346,38.3237,18.2081,0,64.7399,224,346,71.9653,249,346,36.7052,127,346,21.2194,283,69.3642,240,346,1.9162,81.7919,283,346
09DPR1604L,ING. GUILLERMO GONZÁLEZ CAMARENA,MATUTINO,2024-2025,09DPR1603M,ING. GUILLERMO GONZÁLEZ CAMARENA,Primaria,AZCAPOTZALCO,-99.18090556,19.48493611,302,296,38.3108,24.6622,0,64.527,191,296,68.5811,203,296,33.7838,100,296,18.9413,223,66.8919,198,296,1.9155,75.3378,223,296
09DPR1293Z,GUSTAVO A. MADERO,MATUTINO,2024-2025 | 2025-2026,09DES0259E,GUSTAVO A. MADERO,Secundaria,GUSTAVO A. MADERO,-99.139525,19.52373611,194,152,38.2895,0,0,59.8684,91,152,84.8684,129,152,46.7105,71,152,19.155,151,74.3421,113,152,1.9145,100,152,152
09DPR1216U,ING. ROBERTO GAYOL,MATUTINO,2024-2025 | 2025-2026,09DPR1216U,ING. ROBERTO GAYOL,Primaria,IZTAPALAPA,-99.07088333,19.31037778,510,211,38.1991,1.8957,0,58.7678,124,211,82.9384,175,211,47.3934,100,211,19.0271,192,72.5118,153,211,1.91,98.1043,207,211
09DPR3074Z,LEANDRO VALLE,MATUTINO,2024-2025 | 2025-2026,09DPR2466G,LEANDRO VALLE,Primaria,IZTAPALAPA,-99.07012222,19.37734722,473,266,38.1203,1.1278,0,68.797,183,266,65.0376,173,266,55.6391,148,266,19.8878,263,70.3008,187,266,1.906,98.8722,263,266
09DPR1464B,PROFR. TEODORO MONTIEL,MATUTINO,2024-2025 | 2025-2026,09DPR1464B,PROFR. TEODORO MONTIEL,Primaria,GUSTAVO A. MADERO,-99.11545556,19.48076944,200,168,38.0952,19.0476,0,64.881,109,168,71.4286,120,168,35.119,59,168,18.8853,136,67.8571,114,168,1.9048,80.9524,136,168
09DPR1330M,CUAUHTÉMOC,VESPERTINO,2025-2026,09DES0319C,CUAUHTÉMOC,Secundaria,IZTAPALAPA,-99.06195278,19.32543056,251,156,38.0769,1.9231,0,72.4359,113,156,69.8718,109,156,46.1538,72,156,18.8874,151,69.8718,109,156,1.9038,98.0769,153,156
09DPR4182O,JULIO CORTAZAR,MATUTINO,2024-2025 | 2025-2026,09DBS0048D,JULIO CORTAZAR,Adultos - Secundaria,IZTAPALAPA,-99.03822222,19.38457778,296,187,38.0749,0,0,68.4492,128,187,77.5401,145,187,44.385,83,187,18.8471,187,73.7968,138,187,1.9037,100,187,187
