CVE_ESCUELA_ATENCION,NOM_ESCUELA_ATENCION,REF_TURNO_ATENCION,REF_CICLO_ESCOLAR,prioridad_atencion,pct_incompleto,pct_caries,pct_visual,pct_sobrepeso_obesidad,imc_promedio,NUM_MATRICULA_TOTAL_ESCUELA_x,alertas_promedio,NUM_MATRICULA_TOTAL_ESCUELA_y,CLAVECCT,NOMBRE,longitud,latitud,alcaldia,NIVEL,completitud
09DPR5041W,MIGUEL LERDO DE TEJADA,VESPERTINO,2024-2025 | 2025-2026,37.6923,1.5385,75.3846,62.3077,49.2308,19.3016,325.0,69.2308,325,09DPR5035L,MIGUEL LERDO DE TEJADA,-99.05549444,19.37445833,IZTAPALAPA,Primaria,98.4615
09DPR3238T,ENRIQUE GARCÍA GALLEGOS,MATUTINO,2024-2025 | 2025-2026,37.6744,0.0,74.4186,79.0698,34.8837,17.4302,257.0,73.2558,257,09DPR0030I,ENRIQUE GARCÍA GALLEGOS,-99.10153056,19.37428889,IZTAPALAPA,Primaria,100.0
09DPR2311E,REPÚBLICA DE HAITÍ,MATUTINO,2024-2025 | 2025-2026,37.4545,0.9091,59.0909,84.5455,42.7273,18.8555,228.0,73.1818,228,09DPR2311E,REPÚBLICA DE HAITÍ,-99.20659444,19.45495278,MIGUEL HIDALGO,Primaria,99.0909
09DPR5094A,PROFR. JUAN RAMÍREZ MARQUEZ,MATUTINO,2024-2025 | 2025-2026,37.4257,2.9703,64.3564,72.2772,47.5248,19.3487,512.0,68.3168,512,09DPR5097Y,PROFR. JUAN RAMÍREZ MARQUEZ,-99.02914444,19.34785,IZTAPALAPA,Primaria,97.0297
09DPR1190C,VIRGILIO URIBE,MATUTINO,2024-2025 | 2025-2026,37.4222,0.8889,61.3333,73.7778,51.1111,20.2434,365.0,66.6667,365,09DPR1190C,VIRGILIO URIBE,-99.11843333,19.37367778,IZTAPALAPA,Primaria,99.1111
09DPR4230H,JOSÉ GUADALUPE POSADA,VESPERTINO,2024-2025 | 2025-2026,37.3913,1.4493,57.971,81.1594,46.3768,19.1672,166.0,65.2174,166,09DPR4229S,JOSÉ GUADALUPE POSADA,-99.00493889,19.34259167,IZTAPALAPA,Primaria,98.5507
09DPR1680R,COMODORO MANUEL AZUETA PERILLOS,MATUTINO,2024-2025 | 2025-2026,37.3889,0.2778,49.4444,86.1111,51.1111,19.3507,428.0,70.0,428,09DPR1680R,COMODORO MANUEL AZUETA PERILLOS,-99.20554167,19.45795,MIGUEL HIDALGO,Primaria,99.7222
09DPR2319X,NARCISO MENDOZA,MATUTINO,2024-2025 | 2025-2026,37.362,9.5092,53.3742,50.0,73.9264,22.0741,336.0,65.3374,336,09PPR0397S,NARCISO MENDOZA,-99.026057,19.385624,IZTAPALAPA,Primaria,90.49080000000001
09DPR4197Q,HERMANOS FLORES MAGON,MATUTINO,2025-2026,37.3568,0.0,49.3392,87.6652,49.7797,19.4066,340.0,68.7225,340,09DPR4222Z,HERMANOS FLORES MAGON,-98.999125,19.34258611,IZTAPALAPA,Primaria,100.0
09DPR2995X,ARTURO ROSENBLUETH,MATUTINO,2024-2025 | 2025-2026,37.3494,0.0,58.4337,81.1245,47.1888,19.0311,619.0,69.8795,619,09DPR2995X,ARTURO ROSENBLUETH,-98.99645833,19.35264722,IZTAPALAPA,Primaria,100.0
09DPR2702T,PROFR. TEODOMIRO MANZANO CAMPERO,MATUTINO,2024-2025 | 2025-2026,37.3487,21.3256,56.7723,64.8415,43.804,19.8731,369.0,63.6888,369,09DPR2702T,PROFR. TEODOMIRO MANZANO CAMPERO,-99.09965833,19.50532778,GUSTAVO A. MADERO,Primaria,78.67439999999999
09DPR1286P,HOLANDA,MATUTINO,2024-2025 | 2025-2026,37.321,0.6928,57.0439,79.2148,49.6536,19.2889,488.0,69.746,488,09DJN0120K,HOLANDA,-99.15705833,19.37932222,BENITO JUÁREZ,Preescolar,99.3072
09DPR2724E,PROFRA. PAULA ALEGRIA GARZA,MATUTINO,2024-2025 | 2025-2026,37.2973,2.7027,62.1622,78.3784,43.2432,22.1389,181.0,70.2703,181,09DPR2724E,PROFRA. PAULA ALEGRIA GARZA,-99.02745278,19.37053889,IZTAPALAPA,Primaria,97.2973
09DPR2844R,LIC. ANTONIO DÍAZ SOTO Y GAMA,MATUTINO,2024-2025 | 2025-2026,37.2727,1.2121,49.697,85.1515,50.303,19.185,401.0,70.0,401,09DPR2844R,LIC. ANTONIO DÍAZ SOTO Y GAMA,-99.05629722,19.33646389,IZTAPALAPA,Primaria,98.7879
09DPR0111T,PROFRA. COLUMBA RIVERA,MATUTINO,2024-2025 | 2025-2026,37.2696,1.0239,57.6792,79.1809,48.4642,,,67.2355,399,09DPR0111T,PROFRA. COLUMBA RIVERA,-99.05334167,19.38558333,IZTAPALAPA,Primaria,98.9761
09DPR2904P,REPÚBLICA POPULAR DE POLONIA,MATUTINO,2024-2025 | 2025-2026,37.2059,1.4706,60.2941,83.8235,40.4412,18.6201,271.0,67.6471,271,09DPR2904P,REPÚBLICA POPULAR DE POLONIA,-99.03894167,19.34530278,IZTAPALAPA,Primaria,98.5294
09DPR0013S,PROFR. LAUREANO JIMENEZ Y CORIA,MATUTINO,2024-2025 | 2025-2026,37.193,8.0702,60.7018,76.1404,41.0526,18.9112,287.0,70.1754,287,09DPR4101N,PROFR. LAUREANO JIMENEZ Y CORIA,-99.14146667,19.51338333,GUSTAVO A. MADERO,Primaria,91.9298
